flavor,E_ND_GeV_bin_low,E_ND_GeV_bin_high,E_FD_GeV_bin_low,E_FD_GeV_bin_high,transfer_weight,conditional_EFD_given_END,fd_weight_sum,nd_weight_sum,event_count
nue,2.75,3.0,2.5,2.75,6.518194597498154e-10,0.003879193652576009,3.1683489084414714e-09,4.860776801075505,12
nue,2.75,3.0,2.75,3.0,1.146686820975138e-07,0.6824313344567307,5.573788697494972e-07,4.860776801075505,1487
nue,2.75,3.0,3.0,3.25,4.117613146668335e-08,0.24505280631618723,2.0014798459128953e-07,4.860776801075505,597
nue,2.75,3.0,3.25,3.5,5.352232998788414e-09,0.031852912590208615,2.6016009994461506e-08,4.860776801075505,76
nue,2.75,3.0,3.5,3.75,3.836135151722607e-09,0.022830111786932207,1.8646596751283514e-08,4.860776801075505,16
nue,2.75,3.0,3.75,4.0,1.6529116686983054e-09,0.00983702520318181,8.034434693435724e-09,4.860776801075505,5
nue,2.75,3.0,4.0,4.25,1.478948333113227e-10,0.0008801711732421661,7.188837747586061e-10,4.860776801075505,1
nue,2.75,3.0,4.5,4.75,3.1564726481447834e-10,0.001878521495187149,1.5342909021331528e-09,4.860776801075505,2
nue,3.0,3.25,2.0,2.25,2.599962516308031e-10,0.0015187513232973633,1.1746542936282337e-09,4.517966263976193,1
nue,3.0,3.25,2.75,3.0,1.6921282011450912e-09,0.009884457674132955,7.644978127096244e-09,4.517966263976193,13
nue,3.0,3.25,3.0,3.25,1.0627040639097405e-07,0.620771720058593,4.801261109334608e-07,4.517966263976193,1261
nue,3.0,3.25,3.25,3.5,4.8062556719336466e-08,0.2807543230361662,2.1714500981840446e-07,4.517966263976193,589
nue,3.0,3.25,3.5,3.75,7.875416907316922e-09,0.046003739571178294,3.5580867902005584e-08,4.517966263976193,106
nue,3.0,3.25,3.75,4.0,2.119111429201371e-09,0.012378652642593899,9.574073946738169e-09,4.517966263976193,25
nue,3.0,3.25,4.0,4.25,8.070803015115639e-10,0.004714507490933001,3.6463615745489797e-09,4.517966263976193,5
nue,3.0,3.25,4.25,4.5,9.152817788800893e-10,0.005346559437472327,4.135212199012361e-09,4.517966263976193,3
nue,3.0,3.25,4.75,5.0,8.292957411774861e-10,0.00484427754791891,3.746730181499015e-09,4.517966263976193,1
nue,3.0,3.25,5.0,5.25,4.107447427668228e-10,0.002399338904702272,1.8557308909260851e-09,4.517966263976193,1
nue,3.0,3.25,5.25,5.5,1.948779952171873e-09,0.011383672313011732,8.804522079825662e-09,4.517966263976193,1
nue,3.25,3.5,2.75,3.0,1.1692549575056174e-10,0.000680132927253165,5.091474330168161e-10,4.354460331756772,1
nue,3.25,3.5,3.0,3.25,7.64102365914902e-10,0.0044446352398576396,3.3272534417779388e-09,4.354460331756772,11
nue,3.25,3.5,3.25,3.5,1.0354893883725101e-07,0.6023240905095767,4.508997465623177e-07,4.354460331756772,1097
nue,3.25,3.5,3.5,3.75,4.916392093477662e-08,0.28597699112558295,2.1408234346411108e-07,4.354460331756772,559
nue,3.25,3.5,3.75,4.0,9.825630726835148e-09,0.057153787935245316,4.278531923449411e-08,4.354460331756772,114
nue,3.25,3.5,4.0,4.25,4.915541182107711e-09,0.02859274952618141,2.140452908660482e-08,4.354460331756772,38
nue,3.25,3.5,4.25,4.5,2.7319970987647095e-09,0.01589149716323584,1.1896372993045515e-08,4.354460331756772,12
nue,3.25,3.5,4.5,4.75,8.485955279269871e-10,0.004936115573066996,3.6951755640642615e-09,4.354460331756772,6
nue,3.5,3.75,3.0,3.25,7.221674141002659e-11,0.0004314153559394137,3.50461727977723e-10,4.85291528162284,1
nue,3.5,3.75,3.25,3.5,1.151900842419018e-09,0.006881336685043433,5.590077201089476e-09,4.85291528162284,8
nue,3.5,3.75,3.5,3.75,9.93775436334558e-08,0.5936711837438217,4.822708001489382e-07,4.85291528162284,976
nue,3.5,3.75,3.75,4.0,4.911929197930533e-08,0.29343357812876697,2.3837176266886504e-07,4.85291528162284,558
nue,3.5,3.75,4.0,4.25,1.0056549603498376e-08,0.060076788872022634,4.880358325121538e-08,4.85291528162284,119
nue,3.5,3.75,4.25,4.5,2.628541489964932e-09,0.015702635432637977,1.2756089165030487e-08,4.85291528162284,29
nue,3.5,3.75,4.5,4.75,2.776029460906293e-09,0.01658371334114099,1.3471835793067363e-08,4.85291528162284,14
nue,3.5,3.75,4.75,5.0,8.433690703250468e-10,0.005038199738157343,4.092798649428467e-09,4.85291528162284,6
nue,3.5,3.75,5.0,5.25,5.28387536001711e-10,0.003156532577728281,2.564219948081742e-09,4.85291528162284,3
nue,3.5,3.75,5.5,5.75,7.05992434835883e-10,0.004217525903529183,3.4261214757251733e-09,4.85291528162284,1
nue,3.5,3.75,6.0,6.25,1.3510280753200517e-10,0.0008070902212120824,6.556424792622172e-10,4.85291528162284,1
nue,3.75,4.0,3.25,3.5,4.327879740173425e-10,0.0025248674227365884,1.9552977282751614e-09,4.517911415433206,2
nue,3.75,4.0,3.5,3.75,7.675169360641867e-10,0.004477662561366394,3.467573526982707e-09,4.517911415433206,7
nue,3.75,4.0,3.75,4.0,8.913063229311728e-08,0.5199844805202183,4.026843011018541e-07,4.517911415433206,859
nue,3.75,4.0,4.0,4.25,5.4427189870196836e-08,0.317526010112407,2.4589722242451283e-07,4.517911415433206,521
nue,3.75,4.0,4.25,4.5,1.5018964619770542e-08,0.08762002820848369,6.785435170364877e-08,4.517911415433206,165
nue,3.75,4.0,4.5,4.75,6.791218275403647e-09,0.03961969096574971,3.068212257114474e-08,4.517911415433206,53
nue,3.75,4.0,4.75,5.0,1.7290254177808418e-09,0.010087063903174518,7.811583672566233e-09,4.517911415433206,16
nue,3.75,4.0,5.0,5.25,1.3794866791413775e-09,0.008047869130771122,6.2323986151308735e-09,4.517911415433206,6
nue,3.75,4.0,5.25,5.5,1.0871980282960036e-09,0.006342669040055243,4.911864382874988e-09,4.517911415433206,6
nue,3.75,4.0,5.5,5.75,2.5813826661173193e-10,0.0015059681392707476,1.166245821485284e-09,4.517911415433206,2
nue,3.75,4.0,5.75,6.0,2.1658121496163025e-10,0.0012635259916242906,9.784947434435424e-10,4.517911415433206,1
nue,3.75,4.0,6.0,6.25,1.7143828984439276e-10,0.0010001640041422104,7.745430067303287e-10,4.517911415433206,1
nue,4.0,4.25,3.75,4.0,9.612839798460244e-10,0.005599468216427916,4.202439580057116e-09,4.371694180038505,10
nue,4.0,4.25,4.0,4.25,8.769373647477897e-08,0.5108150145693506,3.833701973726216e-07,4.371694180038505,764
nue,4.0,4.25,4.25,4.5,5.182048413879011e-08,0.3018537289485884,2.2654330891632638e-07,4.371694180038505,480
nue,4.0,4.25,4.5,4.75,1.8925289996809232e-08,0.11023959833470716,8.273558013459185e-08,4.371694180038505,156
nue,4.0,4.25,4.75,5.0,6.393281644051979e-09,0.0372407926430598,2.794947215464904e-08,4.371694180038505,58
nue,4.0,4.25,5.0,5.25,2.467055465186171e-09,0.01437056994093199,1.078521201898657e-08,4.371694180038505,16
nue,4.0,4.25,5.25,5.5,8.717555094021706e-10,0.005077965897419059,3.811048486869971e-09,4.371694180038505,7
